[2019-09-01 23:34:10,950] - Logger.py - INFO: 成功获取接口返回信息json_data
[2019-09-01 23:34:10,968] - Logger.py - INFO: 2.0.获取列表222:状态测试成功
[2019-09-01 23:34:10,987] - Logger.py - INFO: 2
[2019-09-01 23:34:11,000] - Logger.py - INFO: 2.0.获取列表222:返回的字段[newsTypeName]验证OK
[2019-09-01 23:34:11,003] - Logger.py - INFO: 结束【获取列表222】脚本测试
[2019-09-01 23:34:11,024] - Logger.py - INFO: ******************************
[2019-09-01 23:34:11,025] - Logger.py - INFO: 测试结束
[2019-09-01 23:34:11,043] - Logger.py - INFO: ------------------------------
[2019-09-01 23:43:09,107] - Logger.py - INFO: ['{\'newsTypeName\': "今日热点"}', '{\'newsTypeName\': "经济快讯4"}']
[2019-09-01 23:43:09,216] - Logger.py - INFO: 开始执行【获取列表111】脚本
[2019-09-01 23:43:09,639] - Logger.py - INFO: 调用【 get 】方式
[2019-09-01 23:43:09,656] - Logger.py - INFO: 获取返回信息status_code【200】
[2019-09-01 23:43:09,668] - Logger.py - INFO: 成功获取接口返回信息json_data
[2019-09-01 23:43:09,686] - Logger.py - INFO: 1.0.获取列表111:状态测试成功
[2019-09-01 23:43:09,703] - Logger.py - INFO: 2
[2019-09-01 23:43:09,717] - Logger.py - INFO: 1.0.获取列表111:返回的字段[newsTypeName]验证OK
[2019-09-01 23:43:09,726] - Logger.py - INFO: 结束【获取列表111】脚本测试
[2019-09-01 23:43:09,743] - Logger.py - INFO: ******************************
[2019-09-01 23:43:09,757] - Logger.py - INFO: 开始执行【获取列表222】脚本
[2019-09-01 23:43:10,091] - Logger.py - INFO: 调用【 get 】方式
[2019-09-01 23:43:10,109] - Logger.py - INFO: 获取返回信息status_code【200】
[2019-09-01 23:43:10,121] - Logger.py - INFO: 成功获取接口返回信息json_data
[2019-09-01 23:43:10,140] - Logger.py - INFO: 2.0.获取列表222:状态测试成功
[2019-09-01 23:43:10,157] - Logger.py - INFO: 2
[2019-09-01 23:43:10,173] - Logger.py - INFO: 2.0.获取列表222:返回的字段[newsTypeName]验证OK
[2019-09-01 23:43:10,185] - Logger.py - INFO: 结束【获取列表222】脚本测试
[2019-09-01 23:43:10,202] - Logger.py - INFO: ******************************
[2019-09-01 23:43:10,218] - Logger.py - INFO: 测试结束
[2019-09-01 23:43:10,233] - Logger.py - INFO: ------------------------------
